trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
24,EURUSD,LONG,2025-06-17,1.1551345586776733,2025-06-18,1.1482638120651245,0.4,-274.8298645019531,-0.5496597290039062,1,signal_flat,True
25,EURUSD,LONG,2025-06-23,1.1500862836837769,2025-06-24,1.1599044799804688,0.39,382.9096555709839,0.7658193111419678,1,signal_flat,True
26,EURUSD,LONG,2025-06-26,1.1683744192123413,2025-06-27,1.1692214012145996,0.39,33.03229808807373,0.06606459617614746,1,signal_flat,True
27,EURUSD,LONG,2025-06-30,1.1727453470230103,2025-07-01,1.178717017173767,0.43,256.78181648254395,0.5135636329650879,1,signal_flat,True
28,EURUSD,LONG,2025-07-02,1.180553913116455,2025-07-07,1.178078293800354,0.49,-121.30534648895264,-0.24261069297790527,3,signal_flat,True
29,EURUSD,LONG,2025-07-08,1.1736538410186768,2025-07-09,1.1724566221237183,0.5700000000000001,-68.24147701263429,-0.13648295402526858,1,signal_flat,True
30,EURUSD,SHORT,2025-07-11,1.1702749729156494,2025-07-21,1.1630746126174927,0.5700000000000001,410.42053699493414,0.8208410739898684,6,signal_flat,True
31,EURUSD,LONG,2025-07-22,1.1694538593292236,2025-07-23,1.1739156246185303,0.68,303.40003967285156,0.6068000793457031,1,signal_flat,True
32,EURUSD,LONG,2025-07-25,1.1756131649017334,2025-07-28,1.1756821870803833,0.72,4.969596862792969,0.009939193725585938,1,signal_reverse,True
33,EURUSD,SHORT,2025-07-28,1.1756821870803833,2025-07-29,1.1596757173538208,0.78,1248.504638671875,2.49700927734375,1,signal_flat,True
34,EURUSD,SHORT,2025-07-30,1.1550945043563843,2025-08-01,1.142374038696289,0.55,699.6256113052369,1.3992512226104739,2,signal_flat,True
35,EURUSD,LONG,2025-08-06,1.1579166650772095,2025-08-07,1.1663167476654053,0.4,336.00330352783203,0.6720066070556641,1,signal_flat,True
36,EURUSD,LONG,2025-08-12,1.1618449687957764,2025-08-13,1.1677058935165405,0.38,222.7151393890381,0.44543027877807617,1,signal_reverse,True
37,EURUSD,SHORT,2025-08-13,1.1677058935165405,2025-08-14,1.171289324760437,0.38,-136.1703872680664,-0.2723407745361328,1,signal_flat,True
38,EURUSD,LONG,2025-08-15,1.1651345491409302,2025-08-18,1.1706587076187134,0.38,209.91802215576172,0.41983604431152344,1,signal_flat,True
39,EURUSD,LONG,2025-08-22,1.16130530834198,2025-08-25,1.1709601879119873,0.38,366.8854236602783,0.7337708473205566,1,signal_flat,True
40,EURUSD,LONG,2025-08-28,1.1647952795028687,2025-09-02,1.1715912818908691,0.39,265.04409313201904,0.5300881862640381,3,signal_flat,True
41,EURUSD,LONG,2025-09-04,1.16604483127594,2025-09-08,1.1713168621063232,0.51,268.87357234954834,0.5377471446990967,2,signal_flat,True
42,EURUSD,LONG,2025-09-10,1.1702749729156494,2025-09-17,1.1871408224105835,0.52,877.0241737365723,1.7540483474731445,5,signal_flat,True
43,EURUSD,LONG,2025-09-18,1.1826341152191162,2025-09-22,1.1736950874328613,0.5,-446.95138931274414,-0.8939027786254883,2,signal_flat,True
44,EURUSD,LONG,2025-09-23,1.1801080703735352,2025-09-24,1.1814465522766113,0.47000000000000003,62.90864944458008,0.12581729888916016,1,signal_flat,True
45,EURUSD,SHORT,2025-09-25,1.1744670867919922,2025-09-29,1.170823097229004,0.55,200.4194259643555,0.400838851928711,2,signal_flat,True
46,EURUSD,LONG,2025-10-01,1.1735849380493164,2025-10-03,1.1725116968154907,0.48,-51.51557922363281,-0.10303115844726561,2,signal_flat,True
47,EURUSD,SHORT,2025-10-06,1.171248197555542,2025-10-08,1.1654603481292725,0.52,300.9681701660156,0.6019363403320312,2,signal_flat,True
48,EURUSD,SHORT,2025-10-09,1.1631964445114136,2025-10-10,1.156644344329834,0.5700000000000001,373.4697103500367,0.7469394207000734,1,signal_flat,True
49,EURUSD,LONG,2025-10-15,1.1602274179458618,2025-10-16,1.1646324396133423,0.55,242.2761917114258,0.4845523834228516,1,signal_flat,True
50,EURUSD,LONG,2025-10-17,1.1699601411819458,2025-10-21,1.164442539215088,0.61,-336.5737199783325,-0.673147439956665,2,signal_flat,True
51,EURUSD,SHORT,2025-10-24,1.1618045568466187,2025-10-27,1.1631693840026855,0.68,-92.80824661254883,-0.18561649322509766,1,signal_reverse,True
52,EURUSD,LONG,2025-10-27,1.1631693840026855,2025-10-29,1.1657865047454834,0.75,196.28405570983887,0.39256811141967773,2,signal_reverse,True
53,EURUSD,SHORT,2025-10-29,1.1657865047454834,2025-11-07,1.1549211740493774,0.79,858.3611249923706,1.7167222499847412,7,signal_flat,True
54,EURUSD,LONG,2025-11-11,1.1557220220565796,2025-11-14,1.1631964445114136,0.78,583.0049514770508,1.1660099029541016,3,signal_flat,True
55,EURUSD,SHORT,2025-11-18,1.159057378768921,2025-11-20,1.154068112373352,0.92,459.012508392334,0.918025016784668,2,signal_flat,True
56,EURUSD,SHORT,2025-11-21,1.1534557342529297,2025-11-24,1.1507612466812134,0.92,247.8928565979004,0.4957857131958007,1,signal_flat,True
57,EURUSD,LONG,2025-11-25,1.1520073413848877,2025-12-04,1.1666841506958008,0.92,1350.266456604004,2.700532913208008,7,signal_flat,True
58,EURUSD,LONG,2025-12-05,1.1642799377441406,2025-12-08,1.164022445678711,1.02,-26.264190673828125,-0.05252838134765624,1,signal_flat,True
59,EURUSD,LONG,2025-12-10,1.1628313064575195,2025-12-31,1.1747292280197144,1.07,1273.0776071548462,2.5461552143096924,15,signal_reverse,True
60,EURUSD,SHORT,2025-12-31,1.1747292280197144,2026-01-05,1.1704667806625366,0.99,421.9822883605957,0.8439645767211914,3,signal_flat,True
61,EURUSD,SHORT,2026-01-06,1.1714951992034912,2026-01-07,1.1688251495361328,0.92,245.64456939697266,0.4912891387939453,1,signal_flat,True
62,EURUSD,SHORT,2026-01-12,1.1623716354370117,2026-01-13,1.1666978597640991,0.91,-393.6864137649536,-0.7873728275299072,1,signal_flat,True
63,EURUSD,SHORT,2026-01-15,1.1646324396133423,2026-01-21,1.1727865934371948,1.03,-839.8778438568115,-1.679755687713623,4,signal_flat,True
64,EURUSD,LONG,2026-01-22,1.1672970056533813,2026-01-26,1.1858457326889038,0.77,1428.2519817352295,2.856503963470459,2,signal_flat,True
65,EURUSD,LONG,2026-01-27,1.1876484155654907,2026-01-30,1.19657301902771,0.58,517.6270008087157,1.0352540016174314,3,signal_flat,True
66,EURUSD,LONG,2026-02-02,1.1849182844161987,2026-02-03,1.1798714399337769,0.48,-242.24853515625,-0.4844970703125,1,signal_flat,True
67,EURUSD,LONG,2026-02-09,1.182578206062317,2026-02-10,1.1904053688049316,0.42,328.74083518981934,0.6574816703796387,1,signal_flat,True
68,EURUSD,LONG,2026-02-11,1.1889617443084717,2026-02-17,1.1849884986877441,0.41000000000000003,-162.9030704498291,-0.3258061408996582,4,signal_reverse,True
69,EURUSD,SHORT,2026-02-17,1.1849884986877441,2026-02-18,1.185185194015503,0.41000000000000003,-8.064508438110352,-0.016129016876220703,1,signal_flat,True
70,EURUSD,LONG,2026-02-26,1.181516408920288,2026-03-02,1.1759449243545532,0.48,-267.43125915527344,-0.5348625183105469,2,signal_flat,True
71,EURUSD,SHORT,2026-03-06,1.1608065366744995,2026-03-09,1.152325987815857,0.63,534.2745780944824,1.0685491561889648,1,signal_flat,True
72,EURUSD,SHORT,2026-03-12,1.1543211936950684,2026-03-19,1.1464471817016602,0.59,464.566707611084,0.929133415222168,5,signal_flat,True
73,EURUSD,LONG,2026-03-23,1.1560158729553223,2026-03-24,1.1607122421264648,0.42,197.24750518798828,0.39449501037597656,1,signal_reverse,True
74,EURUSD,SHORT,2026-03-24,1.1607122421264648,2026-03-25,1.16146719455719,0.44,-33.2179069519043,-0.0664358139038086,1,signal_flat,True
75,EURUSD,LONG,2026-04-06,1.150999665260315,2026-04-08,1.1686612367630005,0.42,741.786003112793,1.483572006225586,2,signal_flat,True
76,EURUSD,LONG,2026-04-13,1.1675150394439697,2026-04-16,1.1809163093566895,0.39,522.6495265960693,1.0452990531921387,3,signal_flat,True
77,EURUSD,LONG,2026-04-17,1.1782727241516113,2026-04-21,1.1784392595291138,0.4,6.661415100097656,0.01332283020019531,2,signal_flat,True
78,EURUSD,LONG,2026-04-30,1.168470025062561,2026-05-04,1.1726628541946411,0.47000000000000003,197.06296920776367,0.39412593841552734,2,signal_reverse,True
79,EURUSD,SHORT,2026-05-04,1.1726628541946411,2026-05-06,1.1715774536132812,0.5,54.270029067993164,0.10854005813598633,2,signal_reverse,True
80,GBPJPY,LONG,2025-01-07,197.33900451660156,2025-01-09,195.51300048828125,0.34,-403.2818981139674,-0.8065637962279347,2,signal_flat,True
81,GBPJPY,LONG,2025-01-27,194.0279998779297,2025-01-28,193.0070037841797,0.34,-228.4197488367967,-0.45683949767359344,1,signal_flat,True
82,GBPJPY,LONG,2025-02-04,193.0240020751953,2025-02-05,192.2949981689453,0.36,-173.32774596907137,-0.34665549193814277,1,signal_flat,True
83,GBPJPY,SHORT,2025-02-06,190.8000030517578,2025-02-11,187.55099487304688,0.35000000000000003,770.0221139400401,1.54004422788008,3,signal_flat,True
84,GBPJPY,LONG,2025-02-12,190.1750030517578,2025-02-13,192.03599548339844,0.34,418.45099402309256,0.8369019880461851,1,signal_flat,True
85,GBPJPY,LONG,2025-02-19,191.8159942626953,2025-02-20,190.26600646972656,0.29,-300.0328407277633,-0.6000656814555266,1,signal_flat,True
86,GBPJPY,SHORT,2025-03-04,189.62399291992188,2025-03-05,191.62899780273438,0.3,-398.6384467438165,-0.7972768934876329,1,signal_flat,True
87,GBPJPY,SHORT,2025-03-10,190.88299560546875,2025-03-11,189.34300231933594,0.3,309.88071110599645,0.6197614222119929,1,signal_flat,True
88,GBPJPY,LONG,2025-03-13,192.218994140625,2025-03-14,191.6909942626953,0.31,-108.44200205672986,-0.2168840041134597,1,signal_flat,True
89,GBPJPY,LONG,2025-03-17,192.12899780273438,2025-03-20,193.18299865722656,0.38,263.30516448834607,0.5266103289766921,3,signal_flat,True
90,GBPJPY,LONG,2025-03-21,192.68699645996094,2025-03-31,193.56500244140625,0.37,213.1454578448613,0.42629091568972266,6,signal_flat,True
91,GBPJPY,SHORT,2025-04-04,191.3820037841797,2025-04-09,186.51499938964844,0.34,1126.7579038875042,2.2535158077750084,3,signal_flat,True
92,GBPJPY,SHORT,2025-04-17,187.7740020751953,2025-04-22,188.4530029296875,0.25,-114.39603930413581,-0.22879207860827164,3,signal_flat,True
93,GBPJPY,LONG,2025-04-23,189.3800048828125,2025-04-24,189.96800231933594,0.24,94.34305591689724,0.18868611183379447,1,signal_flat,True
94,GBPJPY,LONG,2025-04-25,190.39199829101562,2025-04-30,190.8249969482422,0.25,72.0435351070498,0.1440870702140996,3,signal_flat,True
95,GBPJPY,LONG,2025-05-02,193.23300170898438,2025-05-05,191.92999267578125,0.26,-224.17214566900964,-0.44834429133801923,1,signal_flat,True
96,GBPJPY,LONG,2025-05-09,193.24899291992188,2025-05-16,193.7310028076172,0.29,91.63439979427166,0.1832687995885433,5,signal_flat,True
97,GBPJPY,LONG,2025-05-23,193.04299926757812,2025-05-29,195.67599487304688,0.34,581.0255382521685,1.162051076504337,4,signal_flat,True
98,GBPJPY,LONG,2025-05-30,194.0970001220703,2025-06-03,193.1020050048828,0.34,-222.49323179772193,-0.44498646359544386,2,signal_flat,True
99,GBPJPY,LONG,2025-06-04,194.61500549316406,2025-06-05,193.41900634765625,0.39,-306.2668907032143,-0.6125337814064287,1,signal_flat,True
100,GBPJPY,LONG,2025-06-06,194.9320068359375,2025-06-09,195.87100219726562,0.35000000000000003,213.09097999610802,0.4261819599922161,1,signal_flat,True
101,GBPJPY,LONG,2025-06-10,195.93699645996094,2025-06-12,195.6230010986328,0.37,-75.4238609260949,-0.1508477218521898,2,signal_flat,True
102,GBPJPY,LONG,2025-06-16,196.74551391601562,2025-06-18,195.22000122070312,0.45,-446.58872037679095,-0.893177440753582,2,signal_flat,True
103,GBPJPY,LONG,2025-06-20,195.69200134277344,2025-07-02,197.11000061035156,0.4,365.4526029623773,0.7309052059247546,8,signal_flat,True
104,GBPJPY,LONG,2025-07-08,198.73699951171875,2025-07-17,198.47300720214844,0.43,-72.63768624693216,-0.14527537249386432,7,signal_flat,True
105,GBPJPY,LONG,2025-07-24,198.6999969482422,2025-07-25,198.58700561523438,0.5,-36.13000570590041,-0.07226001141180083,1,signal_flat,True
106,GBPJPY,SHORT,2025-08-04,195.79600524902344,2025-08-05,195.18299865722656,0.56,223.36488889156433,0.44672977778312867,1,signal_flat,True
107,GBPJPY,SHORT,2025-08-06,196.2310028076172,2025-08-08,197.5070037841797,0.42,-344.6049546891841,-0.6892099093783682,2,signal_flat,True
108,GBPJPY,LONG,2025-08-11,198.49000549316406,2025-08-20,199.23399353027344,0.4,189.69951671130556,0.3793990334226111,7,signal_flat,True
109,GBPJPY,SHORT,2025-08-28,198.92300415039062,2025-08-29,198.32400512695312,0.38,145.7599288224795,0.291519857644959,1,signal_flat,True
110,GBPJPY,SHORT,2025-09-03,198.7949981689453,2025-09-04,198.89700317382812,0.67,-43.63869604356423,-0.08727739208712845,1,signal_flat,True
111,GBPJPY,LONG,2025-09-12,199.86599731445312,2025-09-22,199.39300537109375,0.79,-237.9987281345514,-0.47599745626910284,6,signal_flat,True
112,GBPJPY,LONG,2025-09-24,199.60800170898438,2025-10-02,198.25999450683594,0.75,-647.6227658737859,-1.2952455317475717,6,signal_flat,True
113,GBPJPY,LONG,2025-10-06,200.9600067138672,2025-10-07,202.7050018310547,0.75,819.9639052352463,1.6399278104704924,1,signal_flat,True
114,GBPJPY,LONG,2025-10-08,204.05799865722656,2025-10-10,203.50399780273438,0.42,-145.20798558099003,-0.29041597116198004,2,signal_flat,True
115,GBPJPY,SHORT,2025-10-16,202.36000061035156,2025-10-17,201.83799743652344,0.37,121.52780670496773,0.24305561340993545,1,signal_flat,True
116,GBPJPY,LONG,2025-10-23,202.8780059814453,2025-10-28,203.69500732421875,0.37,188.47243043035184,0.37694486086070367,3,signal_flat,True
117,GBPJPY,LONG,2025-10-30,201.50399780273438,2025-11-04,202.54100036621094,0.34,221.08003125271446,0.4421600625054289,3,signal_flat,True
118,GBPJPY,LONG,2025-11-10,202.12600708007812,2025-11-18,204.26600646972656,0.41000000000000003,545.513030507642,1.0910260610152842,6,signal_flat,True
119,GBPJPY,LONG,2025-11-19,204.50100708007812,2025-11-20,205.04100036621094,0.41000000000000003,137.13086825911267,0.27426173651822533,1,signal_flat,True
120,GBPJPY,LONG,2025-11-21,205.9040069580078,2025-11-24,205.2030029296875,0.41000000000000003,-177.87887717776616,-0.3557577543555323,1,signal_flat,True
