ts_utc,as_of_date,asset,phase,dry_run,conviction,signal,target_signed_lots,close_price,decision,action
2026-06-24T22:05:19.890431+00:00,2026-06-24,NZDUSD,p1,False,0.2,0,0.0,0.5651633143424988,FLAT,NO_POSITION
2026-06-24T22:05:20.963073+00:00,2026-06-24,USDCAD,p1,False,0.3273197717132683,0,0.0,1.4232100248336792,FLAT,EXIT_LONG
2026-06-24T22:05:21.531532+00:00,2026-06-24,USDCHF,p1,False,0.9622998179743332,1,0.53,0.8121600151062012,LONG,HOLD_LONG
2026-06-24T22:05:22.432880+00:00,2026-06-24,USDJPY,p1,False,0.1,0,0.0,161.75999450683594,FLAT,EXIT_LONG
2026-06-25T22:05:11.233459+00:00,2026-06-25,AUDJPY,p1,False,-0.4,-1,-0.52,111.76300048828124,SHORT,HOLD_SHORT
2026-06-25T22:05:19.264093+00:00,2026-06-25,AUDUSD,p1,False,-0.1890776461341695,0,0.0,0.6911327838897705,FLAT,EXIT_SHORT
2026-06-25T22:05:20.200557+00:00,2026-06-25,EURGBP,p1,False,-0.2,0,0.0,0.8624500036239624,FLAT,EXIT_SHORT
2026-06-25T22:05:20.775859+00:00,2026-06-25,EURUSD,p1,False,-0.2662553017931284,0,0.0,1.1375269889831543,FLAT,NO_POSITION
2026-06-25T22:05:21.330951+00:00,2026-06-25,GBPJPY,p1,False,-0.3785895371184614,-1,-0.48,213.41099548339844,SHORT,HOLD_SHORT
2026-06-25T22:05:22.451900+00:00,2026-06-25,GBPUSD,p1,False,-0.2,0,0.0,1.3194178342819214,FLAT,EXIT_SHORT
2026-06-25T22:05:23.515488+00:00,2026-06-25,NZDUSD,p1,False,-0.4,-1,-0.5,0.5648440718650818,SHORT,OPEN_SHORT
2026-06-25T22:05:24.439930+00:00,2026-06-25,USDCAD,p1,False,0.7273197717132683,1,1.28,1.4195300340652466,LONG,OPEN_LONG
2026-06-25T22:05:24.898653+00:00,2026-06-25,USDCHF,p1,False,0.5622998179743333,1,0.53,0.8100000023841858,LONG,HOLD_LONG
2026-06-25T22:05:25.464390+00:00,2026-06-25,USDJPY,p1,False,-0.2,0,0.0,161.77200317382812,FLAT,NO_POSITION
2026-06-28T05:10:33.693551+00:00,2026-06-26,AUDJPY,p1,False,-0.4,-1,-0.53,111.6269989013672,SHORT,HOLD_SHORT
2026-06-28T05:10:34.137918+00:00,2026-06-26,AUDUSD,p1,False,-0.0480930699760746,0,0.0,0.6900501847267151,FLAT,NO_POSITION
2026-06-28T05:10:34.569502+00:00,2026-06-26,EURGBP,p1,False,0.0,0,0.0,0.8624799847602844,FLAT,NO_POSITION
2026-06-28T05:10:35.252443+00:00,2026-06-26,EURUSD,p1,False,-0.0662553017931284,0,0.0,1.138952136039734,FLAT,NO_POSITION
2026-06-28T05:10:35.619334+00:00,2026-06-26,GBPJPY,p1,False,-0.3785895371184614,-1,-0.48,213.3699951171875,SHORT,HOLD_SHORT
2026-06-28T05:10:36.151973+00:00,2026-06-26,GBPUSD,p1,False,0.0,0,0.0,1.3198009729385376,FLAT,NO_POSITION
2026-06-28T05:10:36.726953+00:00,2026-06-26,NZDUSD,p1,False,-0.6,-1,-0.5,0.5643309354782104,SHORT,HOLD_SHORT
2026-06-28T05:10:37.237737+00:00,2026-06-26,USDCAD,p1,False,0.4,1,1.29,1.4200600385665894,LONG,HOLD_LONG
2026-06-28T05:10:38.141976+00:00,2026-06-26,USDCHF,p1,False,0.0,0,0.0,0.8095099925994873,FLAT,EXIT_LONG
2026-06-28T05:10:38.743462+00:00,2026-06-26,USDJPY,p1,False,-0.2,0,0.0,161.80499267578125,FLAT,NO_POSITION
